1)riId	2)riType	3)regulatorId	4)regulatorName	5)cnfName	19)targetTuOrGene	27)riPMIDS 
RDBECOLIRIC00047	tf-promoter	RDBECOLITFC00189	CRP	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	RDBECOLITUC03185:exuT	11115104;21673794;26843427 
RDBECOLIRIC00048	tf-promoter	RDBECOLITFC00067	RelB	Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB	RDBECOLITUC01509:relBE-hokD	18501926;29728462 
RDBECOLIRIC00049	tf-promoter	RDBECOLITFC00067	RelB	Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB	RDBECOLITUC01509:relBE-hokD	18501926 
RDBECOLIRIC00050	tf-promoter	RDBECOLITFC00207	RelBE	RelBE	RDBECOLITUC01509:relBE-hokD	18501926 
RDBECOLIRIC00051	tf-promoter	RDBECOLITFC00207	RelBE	RelBE	RDBECOLITUC01509:relBE-hokD	18501926 
RDBECOLIRIC00052	tf-promoter	RDBECOLITFC00195	PutA	PutA	RDBECOLITUC03584:putA	18586269;34220787;26843427 
RDBECOLIRIC00053	tf-promoter	RDBECOLITFC00195	PutA	PutA	RDBECOLITUC03584:putA	18586269;34220787;26843427 
RDBECOLIRIC00054	tf-promoter	RDBECOLITFC00195	PutA	PutA	RDBECOLITUC03547:putP	18586269 
RDBECOLIRIC00055	tf-promoter	RDBECOLITFC00195	PutA	PutA	RDBECOLITUC03547:putP	18586269 
RDBECOLIRIC00056	tf-promoter	RDBECOLITFC00214	LexA	DNA-binding transcriptional repressor LexA	RDBECOLITUC00138:dinJ-yafQ	24898247;8057377 
RDBECOLIRIC00057	tf-promoter	RDBECOLITFC00098	ArcA	DNA-binding transcriptional dual regulator ArcA-phosphorylated	RDBECOLITUC00462:puuAP	16857675 
RDBECOLIRIC00058	tf-promoter	RDBECOLITFC00128	FNR	DNA-binding transcriptional dual regulator FNR	RDBECOLITUC00462:puuAP	16857675 
RDBECOLIRIC00061	tf-promoter	RDBECOLITFC00017	DnaA	DnaA-ATP	RDBECOLITUC01727:yjeV	8830270 
RDBECOLIRIC00062	tf-promoter	RDBECOLITFC00017	DnaA	DnaA-ATP	RDBECOLITUC01727:yjeV	8830270;34824476 
RDBECOLIRIC00063	tf-promoter	RDBECOLITFC00053	Fis	DNA-binding transcriptional dual regulator Fis	RDBECOLITUC01728:ogt	19245365 
RDBECOLIRIC00064	tf-promoter	RDBECOLITFC00009	NarL	DNA-binding transcriptional dual regulator NarL-phosphorylated	RDBECOLITUC01728:ogt	19245365;32662815 
RDBECOLIRIC00065	tf-promoter	RDBECOLITFC00009	NarL	DNA-binding transcriptional dual regulator NarL-phosphorylated	RDBECOLITUC01728:ogt	19245365;32662815 
RDBECOLIRIC00066	tf-promoter	RDBECOLITFC00009	NarL	DNA-binding transcriptional dual regulator NarL-phosphorylated	RDBECOLITUC01728:ogt	19245365;32662815 
RDBECOLIRIC00067	tf-promoter	RDBECOLITFC00009	NarL	DNA-binding transcriptional dual regulator NarL-phosphorylated	RDBECOLITUC01728:ogt	19245365;32662815 
RDBECOLIRIC00068	tf-promoter	RDBECOLITFC00053	Fis	DNA-binding transcriptional dual regulator Fis	RDBECOLITUC00646:yeaR-yoaG	19245365;34791440 
RDBECOLIRIC00069	tf-promoter	RDBECOLITFC00053	Fis	DNA-binding transcriptional dual regulator Fis	RDBECOLITUC00646:yeaR-yoaG	19245365 
RDBECOLIRIC00070	tf-promoter	RDBECOLITFC00181	EvgA	DNA-binding transcriptional activator EvgA-phosphorylated	RDBECOLITUC02555:yfdX	19352034 
RDBECOLIRIC00071	tf-promoter	RDBECOLITFC00172	PepA	PepA	RDBECOLITUC01346:pepA	7616564 
RDBECOLIRIC00072	tf-promoter	RDBECOLITFC00189	CRP	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	RDBECOLITUC00103:ppdD-hofBC	17068078 
RDBECOLIRIC00073	tf-promoter	RDBECOLITFC00189	CRP	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	RDBECOLITUC01124:hofMNOP	17068078 
RDBECOLIRIC00074	tf-promoter	RDBECOLITFC00189	CRP	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	RDBECOLITUC01124:hofMNOP	17068078 
RDBECOLIRIC00075	tf-promoter	RDBECOLITFC00098	ArcA	DNA-binding transcriptional dual regulator ArcA-phosphorylated	RDBECOLITUC00463:puuDRCBE	16857675 
RDBECOLIRIC00076	tf-promoter	RDBECOLITFC00128	FNR	DNA-binding transcriptional dual regulator FNR	RDBECOLITUC02885:ydeJ	16857675 
RDBECOLIRIC00077	tf-promoter	RDBECOLITFC00098	ArcA	DNA-binding transcriptional dual regulator ArcA-phosphorylated	RDBECOLITUC00263:ybdN	16857675 
RDBECOLIRIC00078	tf-promoter	RDBECOLITFC00128	FNR	DNA-binding transcriptional dual regulator FNR	RDBECOLITUC00263:ybdN	16857675 
RDBECOLIRIC00079	tf-promoter	RDBECOLITFC00128	FNR	DNA-binding transcriptional dual regulator FNR	RDBECOLITUC00263:ybdN	16857675 
RDBECOLIRIC00080	tf-promoter	RDBECOLITFC00098	ArcA	DNA-binding transcriptional dual regulator ArcA-phosphorylated	RDBECOLITUC00419:iraM	16857675 
RDBECOLIRIC00081	tf-promoter	RDBECOLITFC00128	FNR	DNA-binding transcriptional dual regulator FNR	RDBECOLITUC00419:iraM	16857675 
RDBECOLIRIC00082	tf-promoter	RDBECOLITFC00098	ArcA	DNA-binding transcriptional dual regulator ArcA-phosphorylated	RDBECOLITUC00419:iraM	16857675 
RDBECOLIRIC00087	tf-promoter	RDBECOLITFC00141	YdeO	YdeO	RDBECOLITUC01725:gadEF	19220752;25375160 
RDBECOLIRIC00088	tf-promoter	RDBECOLITFC00187	GadX	GadX	RDBECOLITUC01725:gadEF	12730179;17660422;18297445;19220752 
RDBECOLIRIC00089	tf-promoter	RDBECOLITFC00077	GadE	GadE	RDBECOLITUC02333:gadEF	19220752 
RDBECOLIRIC00093	tf-promoter	RDBECOLITFC00201	SoxS	SoxS	RDBECOLITUC01732:rfaYZ	19376854 
RDBECOLIRIC00094	tf-promoter	RDBECOLITFC00074	MarA	MarA	RDBECOLITUC01732:rfaYZ	19376854 
RDBECOLIRIC00095	tf-promoter	RDBECOLITFC00173	DpiA	DNA-binding transcriptional dual regulator DpiA-phosphorylated	RDBECOLITUC00270:dpiBA	18997424;22101843;9701802;34824476 
RDBECOLIRIC00096	tf-promoter	RDBECOLITFC00173	DpiA	DNA-binding transcriptional dual regulator DpiA-phosphorylated	RDBECOLITUC01736:citCDEFXG	18997424;22101843;9701802;34824476 
RDBECOLIRIC00097	tf-promoter	RDBECOLITFC00173	DpiA	DNA-binding transcriptional dual regulator DpiA-phosphorylated	RDBECOLITUC03144:mdh	18997424 
RDBECOLIRIC00098	tf-promoter	RDBECOLITFC00173	DpiA	DNA-binding transcriptional dual regulator DpiA-phosphorylated	RDBECOLITUC01733:mdh	18997424 
RDBECOLIRIC00099	tf-promoter	RDBECOLITFC00173	DpiA	DNA-binding transcriptional dual regulator DpiA-phosphorylated	RDBECOLITUC01735:exuT	18997424 
RDBECOLIRIC00100	tf-promoter	RDBECOLITFC00173	DpiA	DNA-binding transcriptional dual regulator DpiA-phosphorylated	RDBECOLITUC03185:exuT	18997424 
RDBECOLIRIC00101	tf-promoter	RDBECOLITFC00009	NarL	DNA-binding transcriptional dual regulator NarL-phosphorylated	RDBECOLITUC02372:ynfEFGH-dmsD	19251855;34791440 
RDBECOLIRIC00102	tf-promoter	RDBECOLITFC00009	NarL	DNA-binding transcriptional dual regulator NarL-phosphorylated	RDBECOLITUC02372:ynfEFGH-dmsD	19251855;34791440 
RDBECOLIRIC00103	tf-promoter	RDBECOLITFC00214	LexA	DNA-binding transcriptional repressor LexA	RDBECOLITUC00142:dinB-yafNOP	18524933;7596361;34824476 
RDBECOLIRIC00104	tf-promoter	RDBECOLITFC00053	Fis	DNA-binding transcriptional dual regulator Fis	RDBECOLITUC02419:gltX	9570400;21097887 
RDBECOLIRIC00105	tf-promoter	RDBECOLITFC00053	Fis	DNA-binding transcriptional dual regulator Fis	RDBECOLITUC02419:gltX	9570400;21097887;34791440 
RDBECOLIRIC00106	tf-promoter	RDBECOLITFC00053	Fis	DNA-binding transcriptional dual regulator Fis	RDBECOLITUC02419:gltX	9570400;21097887;34791440 
RDBECOLIRIC00107	tf-promoter	RDBECOLITFC00053	Fis	DNA-binding transcriptional dual regulator Fis	RDBECOLITUC03513:valUXY-lysV	21097887;34791440 
RDBECOLIRIC00108	tf-promoter	RDBECOLITFC00053	Fis	DNA-binding transcriptional dual regulator Fis	RDBECOLITUC03513:valUXY-lysV	21097887 
RDBECOLIRIC00109	tf-promoter	RDBECOLITFC00216	OxyR	OxyR	RDBECOLITUC02549:fhuF	11443092 
RDBECOLIRIC00110	tf-promoter	RDBECOLITFC00216	OxyR	OxyR	RDBECOLITUC02549:fhuF	11443092;26279566;26843427;34824476 
RDBECOLIRIC00111	tf-promoter	RDBECOLITFC00216	OxyR	OxyR	RDBECOLITUC02530:mntH	12029030;19400769;34824476 
RDBECOLIRIC00112	tf-promoter	RDBECOLITFC00216	OxyR	OxyR	RDBECOLITUC00265:None	11443092;26279566;34824476 
RDBECOLIRIC00113	tf-promoter	RDBECOLITFC00216	OxyR	OxyR	RDBECOLITUC01739:ahpCF	11443092;26843427;34824476 
RDBECOLIRIC00114	tf-promoter	RDBECOLITFC00157	BluR	BluR	RDBECOLITUC01740:ycgZ-ymgA-ariR-ymgC	19240136;22783906 
RDBECOLIRIC00115	tf-promoter	RDBECOLITFC00089	McbR	McbR	RDBECOLITUC00323:mcbA	18309357 
RDBECOLIRIC00116	tf-tu	RDBECOLITFC00118	YgiV	YgiV	RDBECOLITUC00522:mcbR	18309357 
RDBECOLIRIC00117	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC03437:fliAZY	19656291 
RDBECOLIRIC00118	tf-promoter	RDBECOLITFC00003	Dan	Dan-L-tartrate DNA-binding transcriptional activator	RDBECOLITUC02934:ttdR	19661178 
RDBECOLIRIC00119	tf-promoter	RDBECOLITFC00003	Dan	Dan-L-tartrate DNA-binding transcriptional activator	RDBECOLITUC03392:ttdABT	20156994 
RDBECOLIRIC00120	tf-promoter	RDBECOLITFC00124	RcnR	RcnR	RDBECOLITUC00742:rcnR	16956381;17120142;19703465;34824476 
RDBECOLIRIC00121	tf-promoter	RDBECOLITFC00124	RcnR	RcnR	RDBECOLITUC00742:rcnR	16956381;17120142;19703465;34824476 
RDBECOLIRIC00122	tf-promoter	RDBECOLITFC00180	AscG	AscG	RDBECOLITUC03275:ascFB	19633077;26843427;34824476 
RDBECOLIRIC00123	tf-promoter	RDBECOLITFC00189	CRP	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	RDBECOLITUC03275:ascFB	19633077;21673794;26843427 
RDBECOLIRIC00124	tf-promoter	RDBECOLITFC00180	AscG	AscG	RDBECOLITUC02525:prpR	19633077;26843427;34824476 
RDBECOLIRIC00125	tf-promoter	RDBECOLITFC00180	AscG	AscG	RDBECOLITUC02525:prpR	19633077;26843427;34824476 
RDBECOLIRIC00126	tf-promoter	RDBECOLITFC00180	AscG	AscG	RDBECOLITUC02525:prpR	19633077;26843427;34824476 
RDBECOLIRIC00127	tf-promoter	RDBECOLITFC00180	AscG	AscG	RDBECOLITUC02525:prpR	19633077;26843427;34824476 
RDBECOLIRIC00128	tf-promoter	RDBECOLITFC00180	AscG	AscG	RDBECOLITUC02525:prpR	19633077;26843427;34824476 
RDBECOLIRIC00129	tf-promoter	RDBECOLITFC00180	AscG	AscG	RDBECOLITUC02696:ybiT	19633077 
RDBECOLIRIC00130	tf-promoter	RDBECOLITFC00180	AscG	AscG	RDBECOLITUC03424:htpG	19633077 
RDBECOLIRIC00131	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC03188:hycABCDEFGHI	19656291 
RDBECOLIRIC00132	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC02043:feaR	19656291 
RDBECOLIRIC00133	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC03652:hmp	19656291;34824476 
RDBECOLIRIC00134	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC03652:hmp	19656291;34824476 
RDBECOLIRIC00135	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC03234:nrfABCDEFG	19656291;20472787 
RDBECOLIRIC00136	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC02471:aceEF	19656291 
RDBECOLIRIC00137	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC02635:hypABCDE-fhlA	19656291 
RDBECOLIRIC00138	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC03683:cdd	19656291 
RDBECOLIRIC00139	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC01418:norR	19656291 
RDBECOLIRIC00140	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC03193:ndh	19656291 
RDBECOLIRIC00141	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC03820:ygbA	19656291 
RDBECOLIRIC00142	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC03820:ygbA	19656291 
RDBECOLIRIC00143	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC01794:sodB	19656291 
RDBECOLIRIC00144	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC03388:tehAB	19656291 
RDBECOLIRIC00145	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC01845:sufABCDSE	19656291;26239124 
RDBECOLIRIC00146	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC01845:sufABCDSE	19656291;26239124 
RDBECOLIRIC00149	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC01188:yibD	19656291 
RDBECOLIRIC00150	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC03184:dsdC	19656291 
RDBECOLIRIC00151	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC03216:lrp	19656291 
RDBECOLIRIC00152	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC03489:fliAZY	19656291 
RDBECOLIRIC00153	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC03437:fliAZY	19656291 
RDBECOLIRIC00154	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC03489:fliAZY	19656291 
RDBECOLIRIC00155	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC01417:thrS-infC-rpmI-rplT-pheMST-ihfA	19656291 
RDBECOLIRIC00156	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC01119:tsgA	19656291 
RDBECOLIRIC00157	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC01880:bamE	19656291 
RDBECOLIRIC00158	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC02971:grxD	19656291 
RDBECOLIRIC00159	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC00601:mepH	19656291 
RDBECOLIRIC00160	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC00499:ydbD	19656291 
RDBECOLIRIC00161	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC01342:bdcA	19656291 
RDBECOLIRIC00162	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC00638:yeaE	19656291 
RDBECOLIRIC00163	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC00885:pgpC-tadA	19656291 
RDBECOLIRIC00164	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC00128:dkgB	19656291 
RDBECOLIRIC00165	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC00128:dkgB	19656291 
RDBECOLIRIC00166	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC01227:rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM	19656291 
RDBECOLIRIC00167	tf-promoter	RDBECOLITFC00038	NsrR	DNA-binding transcriptional dual regulator NsrR	RDBECOLITUC00185:mhpT	19656291 
RDBECOLIRIC00170	tf-promoter	RDBECOLITFC00114	CytR	DNA-binding transcriptional repressor CytR	RDBECOLITUC03170:udp	10347150;12391883;14499937;8626289 
RDBECOLIRIC00171	tf-promoter	RDBECOLITFC00114	CytR	DNA-binding transcriptional repressor CytR	RDBECOLITUC03170:udp	10347150;14499937;8626289 
RDBECOLIRIC00172	tf-promoter	RDBECOLITFC00114	CytR	DNA-binding transcriptional repressor CytR	RDBECOLITUC03683:cdd	1327747;20000490;9466254;26843427 
RDBECOLIRIC00173	tf-promoter	RDBECOLITFC00189	CRP	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	RDBECOLITUC03170:udp	14499937;15027196;8626289;10347150;21673794;26843427 
RDBECOLIRIC00174	tf-promoter	RDBECOLITFC00114	CytR	DNA-binding transcriptional repressor CytR	RDBECOLITUC03470:tsx	1715855 
RDBECOLIRIC00175	tf-promoter	RDBECOLITFC00114	CytR	DNA-binding transcriptional repressor CytR	RDBECOLITUC03482:ppiA	7715459 
RDBECOLIRIC00176	tf-promoter	RDBECOLITFC00114	CytR	DNA-binding transcriptional repressor CytR	RDBECOLITUC03483:ppiA	7715459 
RDBECOLIRIC00177	tf-promoter	RDBECOLITFC00114	CytR	DNA-binding transcriptional repressor CytR	RDBECOLITUC03484:ppiA	7715459 
RDBECOLIRIC00178	tf-promoter	RDBECOLITFC00114	CytR	DNA-binding transcriptional repressor CytR	RDBECOLITUC02396:cytR	1328649;2162467;34824476 
RDBECOLIRIC00179	tf-promoter	RDBECOLITFC00114	CytR	DNA-binding transcriptional repressor CytR	RDBECOLITUC02396:cytR	1328649;2162467;34824476 
RDBECOLIRIC00180	tf-promoter	RDBECOLITFC00114	CytR	DNA-binding transcriptional repressor CytR	RDBECOLITUC03120:rpoH	9767576 
RDBECOLIRIC00181	tf-promoter	RDBECOLITFC00114	CytR	DNA-binding transcriptional repressor CytR	RDBECOLITUC03121:rpoH	9767576 
RDBECOLIRIC00182	tf-promoter	RDBECOLITFC00114	CytR	DNA-binding transcriptional repressor CytR	RDBECOLITUC03448:rpoH	9767576 
RDBECOLIRIC00183	tf-promoter	RDBECOLITFC00114	CytR	DNA-binding transcriptional repressor CytR	RDBECOLITUC03055:deoCABD	11574471;12667072;1647022;1649947;1655726;1661372;2170326;8221894;8394345;8969182 
RDBECOLIRIC00184	tf-promoter	RDBECOLITFC00189	CRP	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	RDBECOLITUC01657:trg	9813115;21673794;26843427 
RDBECOLIRIC00185	tf-promoter	RDBECOLITFC00053	Fis	DNA-binding transcriptional dual regulator Fis	RDBECOLITUC01657:trg	17768236 
RDBECOLIRIC00186	tf-promoter	RDBECOLITFC00053	Fis	DNA-binding transcriptional dual regulator Fis	RDBECOLITUC01657:trg	17768236 
RDBECOLIRIC00187	tf-promoter	RDBECOLITFC00189	CRP	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	RDBECOLITUC01745:azuCR	19734316 
RDBECOLIRIC00188	tf-promoter	RDBECOLITFC00189	CRP	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	RDBECOLITUC01745:azuCR	19734316;21673794;26843427 
RDBECOLIRIC00189	tf-promoter	RDBECOLITFC00189	CRP	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	RDBECOLITUC01746:ykgR	19734316 
RDBECOLIRIC00190	tf-promoter	RDBECOLITFC00160	RhaS	RhaS-L-rhamnose DNA-binding transcriptional activator	RDBECOLITUC03100:rhaSR	19854903;8230210 
RDBECOLIRIC00191	tf-promoter	RDBECOLITFC00160	RhaS	RhaS-L-rhamnose DNA-binding transcriptional activator	RDBECOLITUC03100:rhaSR	19854903;8230210 
RDBECOLIRIC00192	tf-promoter	RDBECOLITFC00162	GlrR	DNA-binding transcriptional activator GlrR-phosphorylated	RDBECOLITUC00884:glmY	19843219 
RDBECOLIRIC00193	tf-promoter	RDBECOLITFC00162	GlrR	DNA-binding transcriptional activator GlrR-phosphorylated	RDBECOLITUC00884:glmY	19843219;34824476 
RDBECOLIRIC00194	tf-promoter	RDBECOLITFC00162	GlrR	DNA-binding transcriptional activator GlrR-phosphorylated	RDBECOLITUC00884:glmY	19843219 
RDBECOLIRIC00195	tf-promoter	RDBECOLITFC00211	IHF	IHF	RDBECOLITUC00884:glmY	19843219;20965974 
RDBECOLIRIC00196	tf-promoter	RDBECOLITFC00114	CytR	DNA-binding transcriptional repressor CytR	RDBECOLITUC03165:nupG	8596434 
RDBECOLIRIC00197	tf-promoter	RDBECOLITFC00114	CytR	DNA-binding transcriptional repressor CytR	RDBECOLITUC03165:nupG	8596434 
RDBECOLIRIC00207	tf-promoter	RDBECOLITFC00022	AraC	AraC-&alpha;-L-arabinopyranose DNA-binding transcriptional activator	RDBECOLITUC03651:xylAB	20023096 
RDBECOLIRIC00208	tf-promoter	RDBECOLITFC00022	AraC	AraC-&alpha;-L-arabinopyranose DNA-binding transcriptional activator	RDBECOLITUC03651:xylAB	20023096 
RDBECOLIRIC00209	tf-promoter	RDBECOLITFC00214	LexA	DNA-binding transcriptional repressor LexA	RDBECOLITUC00143:yafNOP	19943910 
RDBECOLIRIC00210	tf-promoter	RDBECOLITFC00189	CRP	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	RDBECOLITUC02569:lsrACDBFG-tam	15743955;16321939 
